Country Name,Event,Language,Region,annotation_id,no GG detected,region_specification,Theme_Combined,Year,Cumulative CO2,GDP_capita,Annual_Capita_CO2_Consumption,HDI,HDI_Level,LDC,SIDS
Zambia,COP26,en,Africa,320,Yes,,NG,2021,0.014952743,1134.71345424991,0.44487745,0.569,Medium,Yes,No
Burkina Faso,COP26,translated,Africa,334,Yes,,NG,2021,0.0043130214,888.781078836766,0.2659974,0.438,Low,Yes,No
Central African Republic,COP26,translated,Africa,336,Yes,,NG,2021,,461.137510956047,0.04567115,0.387,Low,Yes,No
Djibouti,COP26,translated,Africa,341,Yes,,NG,2021,0.0011234509,3062.55148207643,0.41140705,0.515,Low,Yes,No
Gabon,COP26,translated,Africa,342,Yes,,NG,2021,0.017034737,8635.7971442819,2.5117075,0.693,Medium,No,No
Sao Tome and Principe,COP26,translated,Africa,350,Yes,,NG,2021,0.00020766749,2350.45270097134,0.6530446,0.613,Medium,Yes,Yes
Angola,COP27,en,Africa,399,Yes,,NG,2022,0.03829815,3000.44423053173,0.45155162,0.591,Medium,Yes,No
Eritrea,COP27,en,Africa,419,Yes,,NG,2022,0.0010403047,,0.18914719,0.493,Low,Yes,No
Eswatini,COP27,en,Africa,420,Yes,,NG,2022,0.0024441017,3986.88663743798,1.0527312,0.61,Medium,No,No
Gambia,COP27,en,Africa,422,Yes,,NG,2022,0.0009066433,808.278281490135,0.2847278,0.495,Low,Yes,No
Guinea,COP27,en,Africa,426,Yes,,NG,2022,0.00553954,1515.16794777584,0.35742033,0.471,Low,Yes,No
Namibia,COP27,en,Africa,446,Yes,,NG,2022,0.0046462673,5031.11503011478,1.5399038,0.61,Medium,No,No
Niger,COP27,en,Africa,449,Yes,,NG,2022,0.003119408,585.404929171026,0.116688,0.394,Low,Yes,No
Somalia,COP27,en,Africa,462,Yes,,NG,2022,0.0019194863,592.103121972088,0.03676208,0.38,Low,Yes,No
South Sudan,COP27,en,Africa,463,Yes,,NG,2022,0.0024437523,4136.14657516013,0.1680176,0.381,Low,Yes,No
Zimbabwe,COP27,en,Africa,474,Yes,,NG,2022,0.04505099,1676.82148896726,0.542628,0.55,Medium,No,No
Central African Republic,COP27,translated,Africa,481,Yes,,NG,2022,,427.058096191269,0.040548485,0.387,Low,Yes,No
Congo,COP27,translated,Africa,482,Yes,,NG,2022,0.009715495,2649.22502230642,1.2447897,0.593,Medium,No,No
Côte d'Ivoire,COP27,translated,Africa,483,Yes,,NG,2022,,2486.41219394248,0.41668788,0.534,Low,No,No
Gabon,COP27,translated,Africa,484,Yes,,NG,2022,0.016999606,8820.34733682316,2.3882635,0.693,Medium,No,No
